"","Observador","Decada","Sexo","Conocimiento","CirculaSinCoche","Frecuencia","DeAcuerdo","ConQFrecuencia","nuevoDecada"
"298","DC","90s","Mujer","Si","Bicicleta y a pie","diario",5,"semanal","90s"
"299","AM","90s","","Si","A pie","diario",2,"de vez en cuando","90s"
"300","EO","90s","Hombre","Si","Bicicleta ","diario",5,"semanal","90s"
"301","EO","80s","Hombre","Si","Bicicleta ","semanal",5,"semanal","80s"
"302","EO","80s","Hombre","Si","Bicicleta ","semanal",5,"semanal","80s"
"303","EO","80s","Hombre","Si","Bicicleta ","semanal",4,"mensual","80s"
"304","EO","90s","Hombre","Si","Bicicleta ","semanal",5,"semanal","90s"
"305","EO","90s","Hombre","Si","Bicicleta ","semanal",4,"semanal","90s"
"306","EO","90s","Hombre","Si","Bicicleta ","semanal",4,"de vez en cuando","90s"
"307","EO","90s","Mujer","Si","Bicicleta ","de vez en cuando",5,"semanal","90s"
"308","JR","90s","Mujer","Si","Bicicleta ","diario",5,"semanal","90s"
"309","JR","90s","Mujer","Si","Bicicleta ","semanal",5,"semanal","90s"
"310","JR","90s","Hombre","Si","Bicicleta ","semanal",5,"semanal","90s"
"311","JA","40s","Hombre","Si","A pie","diario",5,"de vez en cuando","40s"
"312","JA","80s","Hombre","Si","A pie","diario",5,"semanal","80s"
"313","JA","90s","Hombre","Si","A pie","diario",5,"semanal","90s"
"314","JL","80s","Hombre","Si","A pie","diario",5,"semanal","80s"
"315","JC","90s","Mujer","Si","Bicicleta ","diario",5,"semanal","90s"
"316","LC","60s","Mujer","Si","A pie","diario",5,"de vez en cuando","60s"
"317","LC","80s","Mujer","Si","A pie","diario",5,"mensual","80s"
"318","LC","80s","Mujer","Si","A pie","diario",5,"mensual","80s"
"319","LC","90s","Mujer","Si","A pie","diario",5,"semanal","90s"
"320","LC","90s","Hombre","Si","A pie","diario",5,"semanal","90s"
"321","PC","90s","Hombre","Si","Bicicleta ","semanal",5,"semanal","90s"
"322","AC","80s","Hombre","Si","A pie","semanal",1,"de vez en cuando","80s"
"323","JC","90s","Mujer","Si","A pie","diario",3,"de vez en cuando","90s"
"324","PC","80s","Hombre","Si","A pie","diario",3,"mensual","80s"
"325","PC","80s","Mujer","Si","A pie","diario",4,"de vez en cuando","80s"
"326","PC","90s","Mujer","Si","A pie","diario",5,"semanal","90s"
"327","PC","90s","Hombre","Si","A pie","diario",5,"de vez en cuando","90s"
"328","PC","90s","Hombre","Si","A pie","diario",5,"mensual","90s"
"329","PC","90s","Hombre","Si","A pie","diario",1,"nunca","90s"
"330","PC","80s","Hombre","Si","A pie","semanal",2,"de vez en cuando","80s"
"331","PC","90s","Mujer","Si","Bicicleta ","semanal",5,"mensual","90s"
